,Tweets,Time,loc
40,RT @AlexSithole: On this day in 2019 God trusted with father duties and today we celebrate three years of that. Happy birthday child 🎂  Dad…,2022-06-19 09:21:49+00:00,Kuvuki Land
41,@_tayomayo Please Tier that shoe lace for my nigga properly if he falls I blame The father😎😎Yeah Happy father's day.,2022-06-19 09:21:49+00:00,in your thoughts
42,"RT @_Allfredo: 🥶🥶🥶🥶 connect with me , ifb instantly 🥶🥶🥶 let’s be mutuals 🤝 Happy Father’s Day",2022-06-19 09:21:49+00:00,United States
43,"RT @SpecialistsIRE: Happy Father’s Day today to all the dads and father figures from Specialisterne Ireland! 
#FathersDay https://t.co/qKMS…",2022-06-19 09:21:49+00:00,"Xi'an, China"
44,"RT @_PreetiPandey: Happy Father's Day Papa...

You are inspiration and institution of learning ....I feel proud to be your daughter ....I m…",2022-06-19 09:21:49+00:00,"Bihar, New Delhi, India"
45,RT @Lazeauxla: akambi owam ningaphela yintsini,2022-06-19 09:21:50+00:00,EL | PE. 
46,"Happy #FathersDay to all  present fathers out there🤟🏾 &amp; with so much expected from men,I hope today you a reminded… https://t.co/vzszL3nFfD",2022-06-19 09:21:50+00:00,"Tzaneen, Limpopo"
47,"To all our fathers &amp; father figures, we love and appreciate your love and sacrifices. May Allah reward you with goo… https://t.co/S5xTJeRkqX",2022-06-19 09:21:50+00:00,HappyLand 💁‍♀️
48,"Irony, misandrist who says all the time "" All men are trash "" is celebrating father's day. Read that again.",2022-06-19 09:21:50+00:00,In Exile
49,"one thing that I’m grateful for, even though my biological father passed on while i was 10,  i got to spend time wi… https://t.co/Vq9X8AG2qO",2022-06-19 09:21:50+00:00,
50,"RT @ImRaina: Happy #FathersDay Papa, you were my biggest support system who always pushed me towards my dreams. I feel blessed to pass on y…",2022-06-19 09:21:50+00:00,"Chennai, India"
51,Happy Father’s Day to all you wonderful Dads out there. I was so lucky to have my lovely Dad and I miss him ❤️x https://t.co/saaNI1IeWx,2022-06-19 09:21:50+00:00,Scarborough
52,RT @ChelseaFC: Happy Father’s Day to all the Chelsea dads out there! 🤗 https://t.co/tMEdg6X85r,2022-06-19 09:21:50+00:00,🌍AFRICA 
53,RT @AdagalaJohnson: happy father's day to all responsible   father's.,2022-06-19 09:21:50+00:00,"Nairobi, Kenya"
54,"Happy Father’s Day to all the incredible Dads in Heaven #ForeverInOurHearts 🕊💙🕊❤️🕊 

#HappyFathersDay 💐💙💐",2022-06-19 09:21:50+00:00,Happy Place
55,"“ oh would ya look at that — it’s father’s day . comes around so fast , huh ? ”

eyes land on her pointedly , waiti… https://t.co/GoClthnhII",2022-06-19 09:21:50+00:00,𝖺𝗅𝗅   𝗂𝗍   𝗍𝖺𝗄𝖾𝗌   𝗂𝗌   𝗈𝗇𝖾   𝐁𝐀𝐃   𝖽𝖺𝗒   .                                          𝐛𝐲 𝐚 𝐫𝐨𝐜𝐤;-;      𝐚𝐝𝐦𝐢𝐧 𝐢𝐬 18+
56,RT @Henry_desagu: Even fathers day women always pulling  the gender equality  card,2022-06-19 09:21:51+00:00,mwihoko
57,RT @min9yu_tttop: happy father’s day 🫶🏻 https://t.co/Cp12CuEYey,2022-06-19 09:21:51+00:00,Philippines
58,"Papa, mon héros au regard si doux...
Papa, chaque jour je me souviens de ce que tu m'as dit des milliers de fois :… https://t.co/e3lVmICybf",2022-06-19 09:21:51+00:00,
59,RT @HeartBingo: Celebrate Father's Day with us by tagging the male role model in your life who deserves our delicious chocolates! 🍫 Here's…,2022-06-19 09:21:51+00:00,"Derbyshire, UK"
60,"Happy Father’s Day! Thank you for all the delightful memories and timeless life lessons.

How would you describe yo… https://t.co/kvKHwIUGdg",2022-06-19 09:21:51+00:00,
61,"I miss my father very much😥😔

#FathersDay 
#FathersDay2022",2022-06-19 09:21:51+00:00,Mars
62,RT @chrisjackmclean: Happy Fathers Day to all the Dads out there who try their best to do everything they can for their family 💙💙xx https:/…,2022-06-19 09:21:51+00:00,
63,"RT @BradWilcoxIFS: New study:

Boys who grew up apart from their biological father about 2 times more likely to land in prison or jail by @…",2022-06-19 09:21:51+00:00,"Port Elizabeth, South Africa"
64,RT @SpyFamilyManga: Happy Father's Day! https://t.co/lYLL5GZZ75,2022-06-19 09:21:51+00:00,pit of hell
65,Happy Fathers Day,2022-06-19 09:21:51+00:00,Chingford London
66,RT @ThebeMot: My ex waited for fathers day to come back and laugh at me for not having a tyma last year.⚰,2022-06-19 09:21:52+00:00,
67,"RT @Yahabib114: پدر مهربانم،مهدی جان❥

نزدیک است...روزی که با آمدنت،تمام غم‌های دنیا پایان پذیرد...! (♥️

My kind father, dear Mehdi

  The…",2022-06-19 09:21:52+00:00,.
68,"RT @sachin_tdk: U born &amp; raised in metro, so ur political knowledge is limited 2 certain geographical areas, &amp; by the way @Pankajamunde tai…",2022-06-19 09:21:52+00:00,
69,@Tsariczary Happy father's day Mcaya,2022-06-19 09:21:52+00:00,Maseru
70,"RT @kobiwaynejr: Our Father, who art in heaven, Happy Father’s Day and lease stop ghosting on us on earth🥺",2022-06-19 09:21:52+00:00,"Sekondi Takoradi, Ghana"
71,RT @RF200_NOW: Praying for all fathers especially from #Ukraine for this Father's Day. https://t.co/HPhWWIXf9J,2022-06-19 09:21:52+00:00,"Bad Wildbad, Deutschland"
72,"Thank you Dad ❤️

#FathersDay2022 https://t.co/r42gEQPp2m",2022-06-19 09:21:52+00:00,Made in Éire -  Irish/Zambian 
73,RT @cliffordaba: Happy Father’s Day to y’all.💀 Drop something darker https://t.co/UAqbMd2IXO,2022-06-19 09:21:53+00:00,🇨🇦
74,RT @KachySZN: Happy Father’s Day to us 🥰🦋 https://t.co/9E55KOmFa3,2022-06-19 09:21:53+00:00,"Lagos, Nigeria"
75,"RT @_Allfredo: 🥶🥶🥶🥶 connect with me , ifb instantly 🥶🥶🥶 let’s be mutuals 🤝 Happy Father’s Day",2022-06-19 09:21:53+00:00,"Haryana, India tag not me blac"
76,"RT @rishabhanalyst: Fathers must be active co-parents too their child, along with mother. Both play an important role in the development of…",2022-06-19 09:21:53+00:00,India
77,@yst_uu i need a father too pls adopt me,2022-06-19 09:21:53+00:00,TPS ♡
78,"RT @yeezy_gram: Hi guys, this is a very difficult time for me and my family but we’ve no other choice than to do this. My father was kidnap…",2022-06-19 09:21:53+00:00,"Kaduna, Nigeria"
79,RT @kwesitumtum: My dad isn’t on Twitter but I’ll still let the world know how amazing he is. Only God knows how much he’s had to deal with…,2022-06-19 09:21:53+00:00,3rd Close McCarthy Hill. 
80,RT @ChelseaFC: Happy Father’s Day to all the Chelsea dads out there! 🤗 https://t.co/tMEdg6X85r,2022-06-19 09:21:53+00:00,"Royal County Of Berkshire,UK"
81,RT @Abrantepayaw_: We got everything you need #SirPatrickSuits,2022-06-19 09:21:53+00:00,Lweza besides mogas petro stn 
82,"RT @yunako_model: Happy father day👨🎉
大好きなラーメン食べに姉兄と🍜 https://t.co/yszkAojp9s",2022-06-19 09:21:53+00:00,東京 千代田区
83,RT @WidasSatyo: Men being an awesome father to his daughter. ❤ https://t.co/fKPR8v7Wa8,2022-06-19 09:21:54+00:00,"Central Java, Indonesia"
84,"RT @eternalfiregg: Happy Father's Day!
-
Tüm babaların #BabalarGünü kutlu olsun! https://t.co/mTVlJm94kA",2022-06-19 09:21:54+00:00,"Zonguldak Merkez, Zonguldak"
85,"RT @ImbayiK: Happy Father's day to all the amazing dads out here, y'all are dope humans and we celebrate your existence ❤️",2022-06-19 09:21:54+00:00,"Nairobi, Kenya"
86,"অভিনেতা হিসাবে পুরো নম্বর পেলেও বাবা হিসাবে কেমন বলি তারকারা? 
#fathersday #bollywood #fatherhood    https://t.co/GrGMCLIrWR",2022-06-19 09:21:54+00:00,"Kolkata (Calcutta), India"
87,"This was thoughtful...

Considering some of us no longer have fathers and we are not yet fathers either.

It was se… https://t.co/5Xpfqxa8Jp",2022-06-19 09:21:54+00:00,Earth
88,"RT @Sau_m_ya: पिता हर बेटी का पहला सुपर हीरो और हर बेटी का पहला प्यार होता है !
Love you dad ❤️

सभी पिता समान व्यक्तियों को भी #HappyFathe…",2022-06-19 09:21:54+00:00,
89,"RT @_Allfredo: 🥶🥶🥶🥶 connect with me , ifb instantly 🥶🥶🥶 let’s be mutuals 🤝 Happy Father’s Day",2022-06-19 09:21:54+00:00,"Enugu, Nigeria"
90,"RT @leslibless: I’m the only daughter, with 5 brothers...and my dad never wanted to take a shower with me.. 

Freaky people!!",2022-06-19 09:21:54+00:00,"Pennsylvania, USA"
91,"RT @15degreedrafts: sirius : a #heehoon fathers’ day special. 

1. https://t.co/xifP4vpzFP",2022-06-19 09:21:54+00:00,writing account ¦ for enha. 
92,RT @sharon_mfanta: Mama Party &amp; Papa Party 🏳️‍🌈 #studcationparty22 https://t.co/wHUBXy23iN,2022-06-19 09:21:54+00:00,Where money and love resides
93,"@Bheki_Nyathi Mfowethu uqhubeke njalo nje ube uye oqotho 
Happy father's day bafo ume nje🙏🏿🙏🏿🙏🏿🙏🏿🙏🏿🙏🏿🙏🏿",2022-06-19 09:21:54+00:00,Inkaba iKwa-DUKUZA🇿🇦
94,RT @elonmusk: Happy Father’s Day,2022-06-19 09:21:54+00:00,"Abuja, Nigeria"
95,"RT @wowsuchcurrency: Happy Father’s Day to the one and only Doge Father @elonmusk 

Despite being sued for $258 Billion, he continues to su…",2022-06-19 09:21:55+00:00,"Bangkok, Thailand"
96,"Happy Father’s Day, you guys should take us out today 😂☺️",2022-06-19 09:21:55+00:00,Abuja
97,"Happy Fathers Day !!!! 
#Saitama #saitacard #epayme #SaitaPro https://t.co/NauTDaVKWy https://t.co/gw0XvQZcnm",2022-06-19 09:21:55+00:00,香港
98,RT @lediphatela: Have no idea what to get for Father’s Day ? @TheOceanBasket is the place for you ! Get the #PapasPrawns meal to win over y…,2022-06-19 09:21:55+00:00,
99,father’s day ngayon pero naghahanap ng sugar daddy mga kaibigan ko ?????,2022-06-19 09:21:55+00:00,Sof
100,Happy Fathers day sa lahat ng tatay except sa iniwan ang mga anak nila @skustacleezy16 ❤️,2022-06-19 09:21:55+00:00,
101,RT @jyotimishra999: Father’s Day par papa ki taang khinchai ;) poora New York wheel chair par ghoome par priyanka ke saath photo ke liye kh…,2022-06-19 09:21:55+00:00,"Bihar, New Delhi, India"
102,"But יהושע answered them, “My Father works until now, and I work.”
Yoḥanan (John) 5:17 TS2009

https://t.co/SENEIdXGCH",2022-06-19 09:21:55+00:00,"San Antonio, TX"
103,RT @BecHarcourt: Lovely write up on Dad contributed by Uncle John -his twin - now published too https://t.co/JjfblTj1HB,2022-06-19 09:21:55+00:00,"Durham, NC"
104,"@PTC_Network Best Wish on Best Day ever 💖
#HappyFatherDay2022  #HoneypreetInsan  #FatherDay for Papa'… https://t.co/VCCkmSf5OF",2022-06-19 09:21:55+00:00,"sirsa, India"
105,"RT @_Allfredo: 🥶🥶🥶🥶 connect with me , ifb instantly 🥶🥶🥶 let’s be mutuals 🤝 Happy Father’s Day",2022-06-19 09:21:55+00:00,The world
106,RT @omwambaKE: Society during Mother's day Vs Father's Day https://t.co/Cw7xU9GJ7d,2022-06-19 09:21:55+00:00,@theapartment across 
107,"No matter how old a girl gets, she never stops needing her father. #HappyFathersDay 😢🥺✨",2022-06-19 09:21:55+00:00,"Abuja, Nigeria"
108,My Dad and Why I Love Baseball https://t.co/rrW6p07Haq,2022-06-19 09:21:55+00:00,United States
109,"RT @Kwonjoni04: Happy Father'a day to our most Favorite
DILF🤣🥳🥳🥳 we love you SUN.
#TAEYANG 
#FathersDay2022
#FathersDay https://t.co/FFL48B…",2022-06-19 09:21:55+00:00,PH-4/6
110,"RT @_Allfredo: 🥶🥶🥶🥶 connect with me , ifb instantly 🥶🥶🥶 let’s be mutuals 🤝 Happy Father’s Day",2022-06-19 09:21:55+00:00,Turn on post Notification 🔔
111,RT @lawrencekitema: Everyone talks about mother's love but no one talks about a father's sacrifice. 😰 #FathersDay2022 https://t.co/NR78I7r2…,2022-06-19 09:21:56+00:00,Åfrø-bêãts fusion 🦍🎶🇺🇬
112,"RT @HeadofMeduzaa: Happy Father’s Day Boss @sarkodie ,we deeply love you .🫶",2022-06-19 09:21:56+00:00,next time 
113,"RT @_Allfredo: 🥶🥶🥶🥶 connect with me , ifb instantly 🥶🥶🥶 let’s be mutuals 🤝 Happy Father’s Day",2022-06-19 09:21:56+00:00,
114,@Muzvo Tinodzidza kwamuri Blaz🙏. Happy Fathers Day. Nhasi mubikirwe favourite food yenyu iya saBaba😁,2022-06-19 09:21:56+00:00,"Johannesburg, South Africa"
115,Why do we have more Mother's day than Father's day? #FathersDay,2022-06-19 09:21:56+00:00,Asylum
116,RT @ilovepie84: In 2008 I jokingly wished my Dad a “Happy Daddies Day” and he hasn’t made eye contact with me ever since,2022-06-19 09:21:56+00:00,Litter Box
117,Happy Father’s Day Micky Joe! https://t.co/VvApR85beq,2022-06-19 09:21:56+00:00,"Wexford, Ireland"
118,"RT @Huawei: It’s that time of the year when you actually call to talk to your Dad not your Mom. Thankfully, #Huawei makes those calls even…",2022-06-19 09:21:56+00:00,"Midrand, South Africa"
119,"RT @mrwtffacts: In 2018, a heroic dad, Brad Lewis, saved his youngest son from a fatal fall from a balcony by jumping after him and cradlin…",2022-06-19 09:21:56+00:00,Your mind
120,RT @d_iron5: Happy Father’s Day 🖤❤️ #FathersDay #FairyTail #BLEACH #gajeelredfox #renjiabarai #ichikaabarai https://t.co/TM99rfWmiC,2022-06-19 09:21:56+00:00,
121,"RT @awarinko: 22.06.19 Father's Day
""ちち！ロイドさん！いつもありがとう！ボフ！""

家族のために日々闘う世のお父さん方
いつもお疲れ様です。

#SPY_FAMILY 
#スパイファミリー 
#ロイヨル https://t.co/GeOBt…",2022-06-19 09:21:56+00:00,京都
122,@jomulhaney1 Happy Father’s Day to your dad ❤️🥰,2022-06-19 09:21:56+00:00,
123,RT @ilovepie84: In 2008 I jokingly wished my Dad a “Happy Daddies Day” and he hasn’t made eye contact with me ever since,2022-06-19 09:21:56+00:00,ask your mom
124,"RT @chrgovph: Sa lahat ng tatay, ama, papa, popsie, daddy, dada, pudra, father dear, at mga tumatayong haligi ng mga tahanan—Happy Father's…",2022-06-19 09:21:56+00:00,"Manila, Philippines"
125,"RT @weetu254: Wait, are these ladies wishing us Happy Father's Day the as those who trash men🤔",2022-06-19 09:21:56+00:00,
126,"RT @nolimitomanii: I was so confused that day because my Dad only has kids with my mom and he denied knowing that person, so a part of me f…",2022-06-19 09:21:56+00:00,
127,"@ardadonertas @ismailsaymaz Her gün ayaklı maarif takvimi misali, zaten herkesin bildiği şeyleri papağan gibi tekra… https://t.co/V1hB385oGH",2022-06-19 09:21:57+00:00,
128,@ThatEricAlper My father's eyes.....,2022-06-19 09:21:57+00:00,"Bremen, Deutschland"
129,RT @ChelseaFC: Happy Father’s Day to all the Chelsea dads out there! 🤗 https://t.co/tMEdg6X85r,2022-06-19 09:21:57+00:00,
130,RT @Korsogyimi: Happy Father’s Day to Messi. We will defend you till casket !!! https://t.co/nHKPHYU6yU,2022-06-19 09:21:57+00:00,East legon
131,"RT @akwasibugati: Instead of posting your father go tell am how much you care about him &amp; send him some 💰

Don't be posting your father to…",2022-06-19 09:21:57+00:00,"Sekondi Takoradi, Ghana"
132,"RT @mahabagin: happy fathers day to these amazing u-series fathers 🥺

kalix to nat &amp; kye
hiro to avrielle, lai &amp; leone
sevi to seven &amp; kiel…",2022-06-19 09:21:57+00:00,she/he/theirs
133,RT @elonmusk: Happy Father’s Day,2022-06-19 09:21:57+00:00,Worldwide
134,"Its fathers day, send daddy tributes 😈💁‍♀️

£abbielou5962 
608407 57776653 
Pp Abbie01012@gmail.com 

😏 https://t.co/j2nNkglijX",2022-06-19 09:21:57+00:00,776702 65620460 £25
135,still felt like a dream. happy father’s day to my papa ! 💖 https://t.co/XMnLKnI5s8,2022-06-19 09:21:57+00:00,open — late replies
136,"RT @ParisAMDParis: Keystone-France. 
Petit garçon choisissant un briquet qu'il offrira à son papa pour le fête des pères. 
1962  Paris http…",2022-06-19 09:21:58+00:00,France
137,"RT @VOICE_of_KNUST: A Special Happy Father's Day to the Highly admired Chancellor of KNUST, His Royal Majesty Otumfuo Osei Tutu II, HRM fro…",2022-06-19 09:21:58+00:00,"Kumasi , Ghana"
138,Happy Father's Day — Happy father's day din sayo HAHAHAHA https://t.co/c6f69QRoT8,2022-06-19 09:21:58+00:00,"▽VII△VIII.
he|him — 18.
works on link.
sempre lieto fine e mai tragedie."
139,Happy Fathers Day @hazardeden10 ❤️ https://t.co/gRnbRjA3g1,2022-06-19 09:21:58+00:00,
140,"RT @Maha_Daughter: #FathersDay 

First Father's day without my dad

My Father you are human for the world but super man for me❤️

I don't k…",2022-06-19 09:21:58+00:00,
141,RT @tessasanderson: What I cant get my head around is why threaten women sport. WE as women have worked so hard for years to build what is…,2022-06-19 09:21:58+00:00,
142,@_Thattguy_ I just called ma father to wish him happy fathers Day and to my surprise her side chic picked the call… https://t.co/lVtF3Mc7pN,2022-06-19 09:21:58+00:00,"Greater Accra, Ghana"
143,Thank you papa.🤍,2022-06-19 09:21:58+00:00,India
144,"RT @FrankKhalidUK: Paul Pogba: ""I was not forced to follow a religion. My mother is Muslim, my father is Christian. I had many Muslim frien…",2022-06-19 09:21:58+00:00,"Ogun, Nigeria"
145,RT @Hormororlar: No be only those wey don born be father’s. Some of us are father’s by responsibilities of a fatherly role in d family. Hap…,2022-06-19 09:21:58+00:00,"Accra, Ghana"
146,yangyang gemes bangett🤏🏻🥹,2022-06-19 09:21:58+00:00,neos
147,RT @dallas_ambivert: There’s no healing after losing a parent. You just act like everything is okay but it's not.. Happy father's day to ou…,2022-06-19 09:21:58+00:00,061
148,Happy fathers day everyone,2022-06-19 09:21:58+00:00,
149,"RT @indianmemesguy: Only Dad can fix the 
problems of my life 😔
#HappyFathersDay2022",2022-06-19 09:21:58+00:00,
150,"RT @MrsVeenosen: I talk about women often because I can relate to things that concern us. 

I have come to the conclusion that because moth…",2022-06-19 09:21:59+00:00,S.O.S
151,"RT @inkdsailor: Let’s be honest, all dad wants is the remote, a beer, and for everyone to pipe down.",2022-06-19 09:21:59+00:00,"Naples, FL"
152,RT @GloryKazimoto: Dad’s teaches us a lot of things but the real lesson is always LOVE. Happy Father’s Day❤️,2022-06-19 09:21:59+00:00,"Dar es Salaam, Tanzania"
153,Second Father's Day without you Dad. I miss you 💙,2022-06-19 09:21:59+00:00,France
154,"RT @AAXXIOOMM: ON OCCASION OF FATHERS DAY AND ⁦@crypto_casually⁩ RELEASING HIS FIRST WRITTEN, HONORABLY BEFORE ME, A SECOND PERMANENT TAG I…",2022-06-19 09:21:59+00:00,Indiana 
155,"RT @TheWolf8421: Fathers day 

Mothers day lu cheskuni overaction chese padulu parents ni old age home lo padese stage ki matram digajaraka…",2022-06-19 09:21:59+00:00,"Hyderabad, India"
156,"RT @HollaEmmy: Not all heroes wear cape 🫡 shout out to all Father’s out there, y’all are the strongest beings alive ❤️#HappyFathersDay2022…",2022-06-19 09:21:59+00:00,🇨🇦
157,"RT @weetu254: Wait, are these ladies wishing us Happy Father's Day the as those who trash men🤔",2022-06-19 09:21:59+00:00,"Maseno, Kenya"
158,"RT @kuz_chainz: every body papa na the ""best dad in the world"". so who papa come be my chemistry lecturer?",2022-06-19 09:21:59+00:00,My mind
159,RT @ChelseaFC: Happy Father’s Day to all the Chelsea dads out there! 🤗 https://t.co/tMEdg6X85r,2022-06-19 09:21:59+00:00,"New Bortianor, Ghana"
160,"RT @villainsin: Father &amp; Sonを聴いていたら久しぶりに MGS4を遊びたくなってプレイ。ナオミ追跡してたら懐かしい開発陣の手形モニュメントに遭遇😊なんだかデスストを感じるw(画面直撮り画😅)

TOMORROW IS IN YOUR HANDS✋🌈…",2022-06-19 09:21:59+00:00,故郷は地球
161,"RT @nsaawa_grace: When I became President of the Makerere Law Society at the Makerere University School of Law, my dad told me about the st…",2022-06-19 09:22:00+00:00,UGANDA
162,"RT @YomYom_: Good to see people truly appreciating Fathers on Father’s Day on this App as it should be

It used to be super irrelevant.. if…",2022-06-19 09:22:00+00:00,my lane
163,"Me wished ""Happy father's day"" to my dad instead of पिता दिवस की हार्दिक शुभकामनाएं *
My dad* https://t.co/2xSrIpSd6O",2022-06-19 09:22:00+00:00,3k karwa do phir bataunga 😺
164,"Celebrating Father's Day with a great shot from volunteer Steph with three generations of family. 

With her Dad Da… https://t.co/AOEoEKcxSH",2022-06-19 09:22:00+00:00,Worcestershire UK
165,"Wishing all of the dads, step dads, dads-to-be, grandfathers and father figures a very Happy Father's Day from East… https://t.co/u4Cekmd6rY",2022-06-19 09:22:00+00:00,"Eastbourne, East Sussex, UK"
166,"RT @_Allfredo: 🥶🥶🥶🥶 connect with me , ifb instantly 🥶🥶🥶 let’s be mutuals 🤝 Happy Father’s Day",2022-06-19 09:22:00+00:00,
167,Many Dads will have not seen their children this Fathers Day through no fault of their own. Please spare a thought… https://t.co/7779Pdyphr,2022-06-19 09:22:00+00:00,United Kingdom
168,RT @_Thattguy_: Don’t just wish your father on this day buy him some gifts he deserves that #HappyFathersDay,2022-06-19 09:22:00+00:00,"Greater Accra, Ghana"
169,"Most of our Fathers are in heaven🥹...
Life hasn't been fair on us...
Happy Father's day😭",2022-06-19 09:22:00+00:00,NIGERIA
170,"RT @JamiatPK: Father’s have a really special place in our lives. Whether being first trainer to being a superhero, a father has it all.

Ha…",2022-06-19 09:22:00+00:00,"Karachi, Pakistan"
